=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.03.29 10:19:02 =~=~=~=~=~=~=~=~=~=~=~=
3864,-1044,188,16728,-238,138,-23
3901,-1120,216,16872,-234,111,-23
3938,-1180,80,16876,-200,143,-14
3975,-1020,228,16884,-225,138,-31
4012,-1156,224,16956,-247,137,-30
4049,-1084,164,16848,-230,151,-17
4086,-1108,184,16956,-218,135,-22
4123,-1100,84,16804,-232,149,-54
4160,-1128,108,16956,-237,165,-34
4197,-1092,232,17068,-237,117,-52
4234,-1076,136,16964,-238,133,-14
4271,-1164,88,16832,-240,130,-34
4308,-1112,28,16956,-233,149,-12
4345,-1124,172,16908,-212,140,-4
4382,-1104,176,17000,-238,162,-21
4419,-1192,264,16880,-237,128,-24
4456,-1012,196,16960,-232,166,-22
4493,-1152,208,16844,-207,137,-30
4530,-1104,312,16888,-230,145,-39
4567,-1024,228,16980,-234,157,-21
4604,-1116,200,16800,-200,140,-35
4641,-1112,200,16900,-210,134,-16
4678,-1224,260,16784,-217,143,-17
4715,-1148,264,17052,-210,114,-18
4752,-1088,220,16872,-210,152,-17
4789,-1128,240,17112,-216,155,-19
4826,-1156,112,17004,-215,129,-25
4863,-1040,248,16940,-233,136,-13
4900,-1088,228,16896,-237,140,-18
4937,-1192,104,16940,-227,131,-14
4974,-1120,252,16752,-237,135,-24
5011,-1072,116,16944,-240,135,-44
5048,-1072,32,17064,-224,156,-33
5085,-1056,256,16812,-216,147,-4
5122,-1108,180,16924,-239,135,-31
5159,-1072,180,17028,-242,167,-25
5196,-1084,192,16868,-234,144,-11
5233,-1092,204,16912,-249,162,-40
5270,-1100,300,16840,-213,137,-24
5307,-1140,204,16908,-207,163,-27
5344,-1116,156,16856,-231,151,-52
5381,-1132,240,17004,-212,154,-47
5418,-1020,224,16940,-233,132,-13
5455,-1124,236,16944,-205,137,-21
5492,-1136,224,16972,-223,145,-50
5529,-1144,284,16936,-223,137,-25
5566,-1068,304,16892,-208,128,-28
5603,-1068,208,16876,-209,141,-29
5640,-1120,232,16896,-182,140,-53
5677,-1172,128,16940,-235,134,-28
5714,-1124,244,17008,-223,155,-51
5751,-1172,184,16884,-205,142,-12
5788,-1128,96,16892,-208,122,-23
5825,-1056,108,16924,-200,147,-31
5862,-1036,116,17012,-209,130,-6
5899,-1076,164,16852,-213,148,-23
5936,-1196,236,16924,-251,152,-36
5973,-1136,188,16880,-212,170,-47
6010,-1164,216,16868,-233,160,-19
6047,-1176,136,16876,-237,120,-27
6084,-1140,232,16888,-220,158,-17
6121,-1124,132,17052,-246,171,-27
6158,-1152,188,17000,-237,146,-9
6195,-1092,152,16872,-248,138,-13
6232,-1104,164,16976,-239,142,-41
6269,-1168,228,16764,-220,158,-24
6306,-1012,168,16932,-227,142,-23
6343,-1048,232,16940,-225,151,-23
6380,-1112,252,17044,-230,157,-29
6417,-1180,248,16928,-228,150,-45
6454,-1184,316,16912,-217,143,-43
6491,-1104,224,16764,-232,114,-27
6528,-1132,284,16916,-230,124,-29
6565,-1192,220,16948,-244,142,-19
6602,-1148,332,16976,-196,150,-10
6639,-1084,208,16904,-218,156,-13
6676,-1108,152,16960,-208,168,-24
6713,-1204,276,16764,-223,141,-25
6750,-1168,168,16976,-234,132,-32
6787,-1140,132,16824,-229,138,-24
6824,-1160,172,16964,-211,159,-35
6861,-1116,96,17032,-244,153,-21
6898,-1116,152,16944,-217,163,-10
6935,-1108,60,16892,-246,153,-31
6972,-1072,240,16976,-223,147,-19
7009,-1152,104,16936,-253,191,-29
7046,-1020,172,16928,-219,157,-27
7083,-1108,68,16784,-215,145,-35
7120,-1116,312,16708,-234,144,-16
7157,-1140,244,16888,-226,154,-18
7194,-1092,164,16876,-218,141,-17
7231,-976,256,16836,-199,137,-20
7268,-1124,244,16960,-225,139,-36
7305,-1064,268,16856,-221,151,-50
7342,-1192,328,16908,-221,145,-6
7379,-1068,312,16792,-188,134,-19
7416,-1192,296,16912,-215,140,-27
7453,-1164,320,16956,-230,135,-3
7490,-1104,292,16964,-224,150,-39
7527,-1096,272,16844,-228,128,-43
7564,-1108,160,16972,-212,119,-10
7601,-1100,208,17000,-220,151,-5
7638,-1204,272,16884,-240,141,-29
7675,-1112,156,16932,-248,130,-11
7712,-1016,120,16752,-237,159,-16
7749,-1204,200,16968,-232,133,-43
7786,-1112,88,17020,-236,149,-21
7823,-1104,156,16992,-230,169,-35
7860,-1084,136,16780,-245,148,-19
7897,-1196,96,16896,-233,154,-25
7934,-1160,244,17012,-225,140,-18
7971,-1192,128,16924,-216,129,-30
8008,-1092,184,17048,-248,159,-40
8045,-1124,196,16860,-221,146,-19
8082,-1176,132,16836,-255,133,-16
8119,-1156,296,16836,-212,145,-33
8156,-1136,188,16904,-234,123,-15
8193,-1048,208,16948,-228,160,-31
8230,-1080,220,16796,-217,125,-47
8267,-1096,236,16880,-182,149,-13
8304,-1084,132,16808,-233,136,-35
8341,-1096,336,16816,-235,143,-34
8378,-1144,232,16780,-235,137,-54
8415,-1084,208,16972,-226,147,-21
8452,-1124,204,16968,-204,151,-16
8489,-1244,204,16924,-235,132,-18
8526,-1084,240,16928,-228,133,-26
8563,-1004,228,16892,-232,143,-10
8600,-1168,164,16792,-221,163,-10
8637,-1232,76,16804,-213,148,-42
8674,-1212,60,16956,-218,132,-32
8711,-1092,148,16988,-231,146,-19
8748,-1168,120,17056,-228,120,-17
8785,-1136,192,16976,-218,128,-19
8822,-1032,140,16792,-220,140,-17
8859,-1036,156,16968,-231,139,-32
8896,-1120,88,16940,-252,142,-21
8933,-1008,168,16976,-222,142,-16
8970,-1084,168,16996,-222,142,-25
9007,-1156,188,16852,-241,122,-40
9044,-1072,164,16976,-253,137,-20
9081,-1068,184,16976,-230,124,-9
9118,-1152,360,16900,-231,159,-30
9155,-1184,224,16860,-215,134,-31
9192,-1084,272,16852,-214,148,-7
9229,-1236,280,16812,-248,156,-25
9266,-1100,216,16928,-214,142,-33
9303,-1076,260,17004,-240,129,-40
9340,-1096,204,16952,-214,150,-38
9377,-1056,252,16860,-228,108,-9
9414,-1088,208,16976,-200,154,-12
9451,-1168,260,16792,-210,141,-15
9488,-1084,208,16904,-207,134,-26
9525,-1076,204,16884,-209,155,-35
9562,-1072,144,16832,-230,137,-27
9599,-1120,164,16812,-240,132,5
9636,-1072,156,16936,-225,138,-40
9673,-1032,112,16968,-240,139,-25
9710,-1164,172,16984,-230,151,-14
9747,-1096,156,17008,-246,157,-22
9784,-1024,60,16972,-243,143,6
9820,-1080,116,16876,-201,150,0
9857,-1080,48,16912,-213,139,-24
9894,-1164,72,16772,-220,134,-22
9931,-1156,152,16900,-232,149,-3
9968,-1076,208,16924,-208,140,-34
10005,-1208,212,16972,-233,168,-23
10042,-1156,216,16876,-221,148,-41
10079,-1120,136,17036,-228,138,-7
10116,-1020,232,17100,-232,143,-22
10153,-1048,228,16776,-231,128,-13
10190,-1108,196,16920,-198,136,-28
10227,-1100,272,17012,-209,143,-35
10264,-1132,280,16956,-221,124,-32
10301,-1088,172,16812,-194,122,-31
10338,-1152,212,16876,-235,142,-6
10375,-1024,148,16732,-216,138,-41
10412,-1104,280,16940,-221,148,-13
10449,-1188,192,16892,-255,116,4
10486,-1084,212,16972,-214,158,-27
10523,-1160,160,17024,-216,128,-13
10560,-1088,180,16784,-217,147,-40
10597,-1104,196,16952,-231,166,-28
10634,-1172,184,16956,-234,118,-20
10671,-1124,76,16980,-219,135,-31
10708,-1040,76,16804,-230,161,-5
10745,-1176,72,16956,-225,128,-4
10782,-1132,148,17004,-230,146,-13
10819,-1032,124,16948,-218,156,-25
10856,-1112,212,16908,-237,125,-6
10893,-1060,132,16856,-248,135,-19
10930,-1068,132,16964,-236,143,-11
10967,-1160,48,16844,-253,116,-25
11004,-1152,188,17028,-228,159,-31
11041,-1172,340,16896,-215,127,-33
11078,-1124,224,16972,-231,131,-13
11115,-1084,236,16780,-234,165,-29
11152,-1108,188,17056,-219,117,-11
11189,-1000,232,16792,-218,168,-17
11226,-1064,232,16824,-227,128,-30
11263,-1172,244,17028,-214,159,-21
11300,-1100,152,16884,-193,146,-37
11337,-1116,204,16844,-222,147,-23
11374,-1004,280,16868,-238,162,-36
11411,-1120,244,16828,-220,135,-28
11448,-1104,92,16712,-209,137,-41
11485,-1044,100,16960,-227,132,-40
11522,-1144,176,16924,-228,177,-31
11559,-1088,200,16948,-212,148,-42
11596,-1072,172,16956,-226,131,-21
11633,-1164,160,16936,-203,160,-13
11670,-1116,88,17076,-240,138,-28
11707,-1028,232,16824,-239,140,-25
11744,-1036,192,16992,-203,169,-39
11781,-1120,156,16748,-224,153,-34
11818,-1072,260,16896,-228,156,-49
11855,-1160,172,16852,-241,148,-18
11892,-1084,184,16864,-204,134,-26
11929,-1168,252,16860,-221,147,-19
11966,-1144,288,16792,-217,127,-43
12003,-1184,252,16868,-211,128,-23
12040,-1096,344,16912,-211,157,3
12077,-1136,284,16848,-204,133,-33
12114,-1048,200,16888,-206,148,-15
12151,-1124,172,16996,-203,130,-12
12188,-1120,192,16900,-215,131,-53
12225,-1176,120,16944,-216,137,-12
12262,-1176,128,16900,-233,126,-13
12299,-1152,212,16952,-228,146,-32
12336,-1208,188,16840,-219,165,-31
12373,-1072,184,17000,-223,113,-18
12410,-1144,60,16840,-241,154,-4
12447,-1100,104,16936,-226,143,-36
12484,-1192,76,17072,-225,155,-36
12521,-1060,148,16964,-242,149,-13
12558,-1072,200,16812,-227,155,-24
12595,-1148,196,16748,-210,156,-28
12632,-1204,156,16860,-233,145,-50
12669,-1104,148,16956,-219,156,-27
12706,-1060,216,16816,-225,148
